ลำดับ,ชื่อสารเคมี (ไทย),ชื่อสารเคมี (อังกฤษ),CAS No
1320,ซัลเฟอร์ ไดออกไซด์,SULPHUR DIOXIDE,7446-09-5
1321,ซัลเฟอร์ ไตรออกไซด์,SULPHUR TRIOXIDE,7446-11-9
1322,ซัลเฟอร์ เตตระคลอไรด์,SULPHUR TETRACHLORIDE,13451-08-6
1323,ซัลฟูริล คลอไรด์,SULPHURYL CHLORIDE,7791-25-5
1324,"กรด 2,4,5-ไตรคลอโรฟีนอกซีแอซีติก 2,4,5-",TRICHLOROPHENOXYACETIC ACID,93-76-5
1325,"เกลือและเอสเทอร์ของกรด 2,4,5-ไตรคลอโรฟีนอกซีแอซีติก 2,4,5-",TRICHLOROPHENOXYACETIC ACID (SALTS AND  ESTERS),-
1326,เทลลูเลียม เฮกซะฟลูออไรด์,TELLURIUM HEXAFLUORIDE,7783-80-4
1327,เตตระเอทธิล ไพโรฟอสเฟต (ทีอีพีพี),TETRAETHYL PYROPHOSPHATE (TEPP),107-49-3
1328,"3,6,9,12-เตตระ-อะซาเตตราดีคาเมทธิลีน ไดอะมีน 3,6,9,12-",TETRA-AZATETRADECAMETHYLENE  DIAMINE,4067-16-7
1329,"1,1,2,2-เตตระโบรโมอีเธน 1,1,2,2-",TETRABROMOETHANE,79-27-6
1330,"2,3,7,8-เตตระคลอโรไดเบนโซ-พี-ไดออกซิน (ทีซีดีดี) 2,3,7,8-",TETRACHLORODIBENZO-P-DIOXIN (TCDD),1746-01-6
1331,"1,1,2,2-เตตระคลอโรอีเธน 1,1,2,2-",TETRACHLOROETHANE,79-34-5
1332,เตตระคลอโรเอทธิลีน,TETRACHLOROETHYLENE,127-18-4
1333,เตตระคลอโรมีเธน,TETRACHLOROMETHANE,56-23-5
1334,"2,3,5,6-เตตระคลอโร-4-(เมทธิลซัลโฟนิล) ไพริดีน 2,3,5,6-",TETRACHLORO-4-(METHYLSULPHONYL) PYRIDINE,13108-52-6
1335,"2,3,4,6-เตตระคลอโรฟีนอล 2,3,4,6-",TETRACHLOROPHENOL,58-90-2
1336,โอโอโอ'โอ'-เตตระเอทธิล ไดไธโอไพโรฟอสเฟต,OOO'O'-TETRAETHYL DITHIOPYROPHOSPHATE,3689-24-5
1337,เตตระเอทธิลีนเพนตามีน,TETRAETHYLENEPENTAMINE,112-57-2
1338,เตตระเอทธิล เลด,TETRAETHYL LEAD,78-00-2
1339,เตตระเมทธิล เลด,TETRAMETHYL LEAD,75-74-1
1340,โอโอโอ'โอ'-เตตระเอทธิล เอสเอส'-เมทธิลีน ได (ฟอสฟอโรไดไธโอเอท),OOO'O'-TETRAETHYL  SS'-METHYLENE DI (PHOSPHORODITHIOATE) 563-12-2,-
1341,เตตระเอทธิล ซิลิเกต,TETRAETHYL SILICATE,78-10-4
1342,เตตระไฮโดรฟิวแรน,TETRAHYDROFURAN,109-99-9
1343,"เตตระไฮโดรฟิวแรน-2,5-ไดอิลไดเมทธานอล",TETRAHYDROFURAN-2-5DIYLDIMETHANOL,104-80-3
1344,ทีอีพีพี,TEPP,107-49-3
1345,เตตระไฮโดรเฟอฟิวริล แอลกอฮอล์,TETRAHYDROFURFURYL ALCOHOL,97-99-4
1346,เตตระไฮโดร-2-ฟิวริลเมทธานอล,TETRAHYDRO-2-FURYLMETHANOL,97-99-4
1347,"1,2,3,4-เตตราไฮโดร-1-แนพธิล ไฮโดรเพอร์ออกไซด์ 1,2,3,4-",TETRAHYDRO-1-NAPHTHYL HYDROPEROXIDE,771-29-9
1348,เตตระไฮโดรพธาลิค แอนไฮโดรด์,TETRAHYDROPHTHALIC ANHYDRIDE,85-43-8
1349,"เตตระไฮโดรไธโอฟีน-1,1-ไดออกไซด์","TETRAHYDROTHIOPHENE-1,1-DIOXIDE",126-33-0
1350,เตตระลิน ไฮโดรเพอร์ออกไซด์,TETRALIN HYDROPEROXIDE,771-29-9
1351,เตตระเมทธิลิน ไดอะครีเลท,TETRAMETHYLENE DIACRYLATE,1070-70-8
1352,เตตระเมทธิลีนไดซัลโฟเตตระมีน,TETRAMETHYLENEDISULPHOTETRAMINE,80-12-6
1353,เอ็นเอ็นเอ็น'เอ็น'-เตตระเมทธิล-พารา-ฟีนิลีนไดอะมีน,NNN'N'-TETRAMETHYL-p-PHENYLENEDIAMINE,100-22-1
1354,เอ็นเอ็นเอ็น'เอ็น'-เตตระเมทธิลฟอสฟอโรไดอะมิดิค  ฟลูออไรด์,NNN'N'-TETRAMETHYLPHOSPHORODIAMIDIC  FLUORIDE,115-26-4
1355,เตตระเมทธิลไธยูแรม ไดซัลไฟด์,TETRAMETHYLTHIURAM DISULPHIDE,137-26-8
1356,"1,2,3,4-เตตระไนโตรคาร์บาโซล 1,2,3,4-",TETRANITROCARBAZOLE,6202-15-9
1357,เตตระไนโตรแนพธาลีน,TETRANITRONAPHTHALENE,55810-18-9
1358,โอโอโอ'โอ'-เตตระโพรพิล ไดไธโอไพโรฟอสเฟต,OOO'O'-TETRAPROPYL DITHIOPYROPHOSPHATE,3244-90-4
1359,เตตริล,TETRYL,479-45-8
1360,แทลเลียม,THALLIUM,7440-28-0
1361,สารประกอบแทลเลียม,THALLIUM COMPOUNDS,-
1362,ไธโอคาร์บาไมด์,THIOCARBAMIDE,62-56-6
1363,กรดไธโอไซยานิค,THIOCYANIC ACID,463-56-9
1364,เกลือของกรดไธโอไซยานิค,THIOCYANIC ACID (SALTS),-
1365,"2,2'-ไธโอไดเอทธานอล 2,2'-",THIODIETHANOL,111-48-8
1366,ไธโอไดไกลคอล,THIODIGLYCOL,111-48-8
1367,"2-ไธโอ-1,3-ไดไธออล (4,5,b) ควินอกซาลีน 2-","THIO-1,3-DITHIOL(4,5,b) QUINOXALINE",93-75-4
1368,กรดไธโอไกลโคลิค,THIOGLYCOLIC ACID,68-11-1
1369,ไธโอมีตัน,THIOMETON,640-15-3
1370,ไธโอนาซิน,THIONAZIN,297-97-2
1371,ไธโอนิล คลอไรด์,THIONYL CHLORIDE,7719-09-7
1372,ไธโอควินอกซ์,THIOQUINOX,93-75-4
1373,ไธโอยูเรีย,THIOUREA,62-56-6
1374,ไธแรม,THIRAM,137-26-8
1375,ไทร์เพท,TIRPATE,26419-73-8
1376,ไทเทเนียม เตตระคลอไรด์,TITANIUM TETRACHLORIDE,7550-45-0
1377,โอ-โทลิดีน,O-TOLIDINE,119-93-7
1378,เกลือของ โอ-โทลิดีน,O-TOLIDINE (SALT),-
1379,โทลูอีน,TOLUENE,108-88-3
1380,"2,5-โทลูอีนไดอะมีน ซัลเฟท 2,5-",TOLUENE DIAMINE SULFATE,6369-59-1
1381,"โทลูอีน-2,4-ไดแอมโมเนียมซัลเฟต","TOLUENE-2,4-DIAMMONIUM SULPHATE",65321-67-7
1382,"โทลูอีน-2,6-ไดไอโซไซยาเนท","TOLUENE-2,6-DI-ISOCYANATE",91-08-7
1383,"โทลูอีน-2,4-ไดไอโซไซยาเนท","TOLUENE-2,4-DI-ISOCYANATE",548-84-9
1384,กรดพาราโทลูอีนซัลโฟนิค p-,TOLUENESULPHONIC  ACID,104-15-4
1385,ออโท-โทลูอิดีน o-,TOLUIDINE,95-53-4
1386,เมตา-โทลูอิดีน m-,TOLUIDINE,108-44-1
1387,พารา-โทลูอิดีน p-,TOLUIDINE,106-49-0
1388,โทซิล ไอโซไซยาเนท,TOSYL ISOCYANATE,4083-64-1
1389,ไตรอัลคิลโบเรนส์,TRIALKYLBORANES,-
1390,ไตร-อัลเลท,TRI-ALLATE,2303-17-5
1391,"1,3,5-ไตรอะมิโน-2,4,6-ไตรไนโตรเบนซีน 1,3,5-","TRIAMINO-2,4,6-TRINITROBENZENE",3058-38-6
1392,ไตรอะมิฟอส,TRIAMIPHOS,1031-47-6
1393,ไตรอะริมอล,TRIARIMOL,26766-27-8
1394,"3,6,9-ไตรอะซาอันดีคาเมธิลีนไดอะมีน 3,6,9-",TRIAZAUNDECAMETHYLENEDIAMINE,112-57-2
1395,"1,2,4-ไตรอะซอล-3-อิลอะมีน 1,2,4-",TRIAZOL-3-YLAMINE,61-82-5
1396,"1-(ไตรไซโคลเฮกซิลสแตนนิล)-1ไฮโดรเจน-1,2,4-ไตรอะโซล 1-(","TRICYCLOHEXYLSTANNYL)-1H-1,2,4-TRIAZOLE",41083-11-8
1397,ไตรไนโตรอะนิลีน,TRINITROANILENE,26952-42-1
1398,"2,4,6-ไตรไนโตรอะนิโซล 2,4,6-",TRINITROANISOLE,606-35-9
1399,ไตรไนโตรเบนซีน,TRINITROBENZENE,99-35-4
1400,กรดไตรไนโตรเบนโซอิค,TRINITROBENZOIC ACID,129-66-8
1401,"2,4,6-ไตรไนโตรฟีนีโทล 2,4,6-",TRINITROPHENETOLE,4732-14-3
1402,"2,4,6-ไตรไนโตรฟีนอล(กรดพิดริด) 2,4,6-",TRINITROPHENOL (PICRIC  ACID),88-89-1
1403,"2,4,6-ไตรไนโตรริซอร์ซินอล(กรดสไตฟนิค) 2,4,6-",TRINITRORESORCINOL (STYPHNIC  ACID) 82-71--3,-
1404,"2,4,6-ไตรไนโตรโทลูอีน 2,4,6-",TRINITROTOLUENE,118-96-7
1405,ไตรโบรโมมีเธน,TRIBROMOMETHANE,75-25-2
1406,"ไตรบิวทิล-(2,4-ไดคลอโรเบนซิล)ฟอสโฟเนียม คลอไรด์",TRIBUTYL-(2-4-DICHLOROBENZYL)PHOSPHONIUM CHLORIDE,115-78-6
1407,ไตรบิวทิล ฟอสเฟต,TRIBUTYL PHOSPHATE,126-73-8
1408,สารประกอบไตรบิวทิลทิน,TRIBUTYLTIN (COMPOUNDS),1983-10-4
1409,ไตรบิวทิลทิน ลิโนลีเอท,TRIBUTYLTIN LINOLEATE,24124-25-2
1410,ไตรบิวทิลทิน แนพธิเนท,TRIBUTYLTIN NAPHTHENATE,85409-17-2
1411,ไตรบิวทิลทิน โอลีเอท,TRIBUTYLTIN OLEATE,3090-35-3
1412,กรดไตรคลอโรอะซิติค,TRICHLOROACETIC ACID,76-03-9
1413,ไตรคลอโรอะซีโตไนไตรล์,TRICHLOROACETONITRILE,754-06-2
1414,"เอส,2,3,3-ไตรคลอโรอัลลิล-ไดไอโซโพรพิล ไธโอคาร์บาเมท","S-2,3,3-TRICHLOROALLYL-DIISOPROPYL THIOCARBAMATE",2303-17-5
1415,"1,1,1-ไตรคลอโร-2,2-บีส (4-คลอโรฟีนิล) อีเทน 1,1,1,-","TRICHLORO-2,2-BIS (4-CHLOROPHENYL) ETHANE",50-29-3
1416,"2,2,2-ไตรคลอโร-1,1-บีส (4-คลอโรฟีนิล) เอทธานอล 2,2,2,-","TRICHLORO-1,1-BIS (4-CHLOROPHENYL) ETHANOL",115-32-2
1417,"1,1,1-ไตรคลอโรอีเทน 1,1,1-",TRICHLOROETHANE,71-55-6
1418,"1,1,2-ไตรคลอโรอีเทน 1,1,2-",TRICHLOROETHANE,79-00-5
1419,"2,2,2-ไตรคลอโรอีเทน-1,1-ไดออล 2,2,2-","TRICHLOROETHANE-1,1-DIOL",302-17-0
1420,ไตรคลอโรเอทธิลีน,TRICHLOROETHYLENE,79-01-6
1421,"อาร์-1,2-โอ-(2,2,2-ไตรคลอโรเอทธิลิดีน) กลูโคฟูราโนส","R-1,2-O-(2,2,2-TRICHLOROETHYLIDENE) GLUCOFURANOSE",15879-93-3
1422,กรดไตรคลอโรไอโซไซยานูริค,TRICHLOROISOCYANURIC ACID,87-90-1
1423,ไตรคลอโรมีเธน,TRICHLOROMETHANE,67-66-3
1424,ไตรคลอโรมีเธนซัลฟีนิล คลอไรด์,TRICHLOROMETHANESULPHENYL CHLORIDE,594-42-3
1425,ไตรคลอโร (เมทธิล) ไซเลน,TRICHLORO (METHYL) SILANE,75-79-6
1426,ไตรคลอโรเนท,TRICHLORONATE,327-98-0
1427,ไตรคลอโรไนโตรมีเธน,TRICHLORONITROMETHANE,76-06-2
1428,"2,4,5-ไตรคลอโรฟีนอล 2,4,5,-",TRICHLOROPHENOL,95-95-4
1429,"2,4,6-ไตรคลอโรฟีนอล 2,4,6-",TRICHLOROPHENOL,88-06-2
1430,"กรด 2,4,5-ไตรคลอโรฟีนอกซีอะซิติค 2,4,5-",TRICHLOROPHENOXYACETIC ACID,93-76-5
1431,"2-(2,4,5-ไตรคลอโรฟีนอกซี) เอทธิล 2,2-ไดคลอโรโพรไพโอเนท 2-(2,4,5-","TRICHLOROPHENOXY) ETHYL 2,2-DICHLOROPROPIONATE",136-25-4
1432,"กรด 2-(2,4,5-ไตรคลอโรฟีนอกซี) โพรพิโอนิค 2-(2,4,5-",TRICHLOROPHENOXY) PROPIONIC ACID,93-72-1
1433,"กรด 2,3,6-ไตรคลอโรฟีนิลอะซีติค 2,3,6-",TRICHLOROPHENYLACETIC ACID,85-34-7
1434,"1,2,3-ไตรคลอโรโพรเพน 1,2,3-",TRICHLOROPROPANE,96-18-4
1435,ไตรคลอโรไซเลน,TRICHLOROSILANE,10025-78-2
1436,"แอลฟา, แอลฟา, แอลฟา-ไตรคลอโรโทลูอีน","ALPHA, ALPHA, ALPHA-TRICHLOROTOLUENE",98-07-7
1437,"2,4,6-ไตรคลอโร-1,3,5-ไตรอะซีน 2,4,6-","TRICHLORO-1,3,5-TRIAZINE",108-77-0
1438,"ไตรคลอโร-1,3,5-ไตรอะซีน-2,4,6-ไตรโอน","TRICHLORO-1,3,5-TRIAZINE-2,4,6-TRIONE",87-90-1
1439,ไตรคลอร์ฟอน,TRICHLORPHON,52-68-6
1440,ไตรครีซิล ฟอสเฟต,TRICRESYL PHOSPHATE,1330-78-5
1441,"1-ไตรไซโคลเฮกซิล สแตนนิล-1,2,4-ไตรอะโซล 1-","TRICYCLOHEXYL STANNYL-1,2,4-TRIAZOLE",41083-11-8
1442,สารประกอบไตรไซโคลเฮกซิลทิน,TRICYCLOHEXYLTIN COMPOUNDS,-
1443,ไตรไซโคลเฮกซิลทิน ไฮดรอกไซด์,TRICYCLOHEXYLTIN HYDROXIDE,13121-70-5
1444,ไตรดีมอร์พ,TRIDEMORPH,24602-86-6
1445,ไตรเอทธิลอะมีน,TRIETHYLAMINE,121-44-8
1446,ไตรเอทธิลีน ไกลคอล ไดอะครีเลท,TRIETHYLENE GLYCOL DIACRYLATE,1680-21-3
1447,ไตรเอทธิลีนเมลามีน,TRIETHYLENEMELAMINE,51-18-3
1448,ไตรเอทธิลีนเตตระมีน,TRIETHYLENETETRAMINE,112-24-3
1449,ไตรเอทธิล ฟอสเฟต,TRIETHYL PHOSPHATE,78-40-0
1450,สารประกอบไตรเอทธิลทิน,TRIETHYLTIN COMPOUNDS,-
1451,กรดไตรฟลูออไรอะซีติค,TRIFLUOROACETIC ACID,76-05-1
1452,"แอลฟา, แอลฟา, แอลฟา-ไตรฟลูออไรโทลูอีน","ALPHA, ALPHA, ALPHA-TRIFLUOROTOLUENE",98-08-8
1453,สารประกอบไตรเฮกซิลทิน,TRIHEXYLTIN COMPOUNDS,-
1454,"1,2,3-ไตรไฮดรอกซีเบนซีน 1,2,3-",TRIHYDROXYBENZENE,87-66-1
1455,ไตรเมลลิติค แอนไฮโดรด์,TRIMELLITIC ANHYDRIDE,552-30-7
1456,ไตรเมทธิลโบเรท,TRIMETHYLBORATE,121-43-7
1457,"3,5,5-ไตรเมทธิล-2-ไซโคลเฮกซีน-1-โอน 3,5,5-",TRIMETHYL-2-CYCLOHEXEN-1-ONE,78-59-1
1458,"2,2,4-ไตรเมทธิลเฮกซาเมทธิลีน-1,6-ได-ไอโซไซยาเนท 2,2,4-","TRIMETHYLHEXAMETHYLENE-1,6-DI- ISOCYANATE",16938-22-0
1459,"2,2,4-ไตรเมทธิลเฮกซาเมทธิลีน-1,6-ได-ไอโซไซยาเนทและ สารผสมของสารดังกล่าว 2,2,4-","TRIMETHYLHEXAMETHYLENE-1,6-DI- ISOCYANATE and their mixtures 15646-96-5",-
1460,ไตรเมทธีลอลโพรเพน ไตรอะครีเลท,TRIMETHYLOLPROPANE TRIACRYLATE,15625-89-5
1461,"2,4,4-ไตรเมทธิลเพน-1-อีน 2,4,4-",TRIMETHYLPENT-1-ENE,107-39-1
1462,สารประกอบไตรเมทธิลทิน,TRIMETHYLTIN COMPOUNDS,-
1463,"2,4,6-ไตรเมทธิล-1,3,5-ไตรออกแซน 2,4,6-","TRIMETHYL-1,3,5-TRIOXAN",123-63-7
1464,ไตรไนโตรอะนิลีน,TRINITROANILENE,29652-42-1
1465,"2,4,6-ไตรไนโตรอะนิโซล 2,4,6-",TRINITROANISOLE,606-35-3
1466,ไตรไนโตรเบนซีน,TRINITROBENZENE,25377-32-6
1467,กรดไตรไนโตรเบนโซอิค,TRINITROBENZOIC ACID,129-66-8
1468,ไตรไนโตรครีซอล,TRINITROCRESOL,28905-71-7
1469,"2,4,6-ไตรไนโตรฟีนอล 2,4,6-",TRINITROPHENOL,88-89-1
1470,"2,4,6-ไตรไนโตรริซอร์ซินอล (กรดสไตฟนิค) 2,4,6-",TRINITRORESORCINOL (STYPHNIC ACID),82-71-3
1471,ไตรไนโตรไซลีน,TRINITROXYLENE,67297-26-1
1472,"8,9,10-ไตรนอร์บอร์น-5-อีน-2,3-ไดคาร์บอกซีลิคแอนไฮไดรด์ 8,9,10-","TRINORBORN-5-ENE-2,3-DICARBOXYLIC ANHYDRIDE",129-64-6
1473,"8,9,10-ไตรนอร์บอร์น-2-อิล อะครีเลท 8,9,10-",TRINORBORN-2-YL ACRYLATE,10027-06-2
1474,สารประกอบไตรออกทิลทิน,TRIOCTYLTIN COMPOUNDS,-
1475,"1,3,5-ไตรออกแซน 1,3,5-",TRIOXAN,110-88-3
1476,ไตรออกซีเมทธิลีน,TRIOXYMETHYLENE,110-88-3
1477,สารประกอบไตรเพนทิลทิน,TRIPENTYLTIN COMPOUNDS,-
1478,ไตรฟีนิล ฟอสไฟท์,TRIPHENYL PHOSPHITE,101-02-0
1479,ไตรฟีนิลทิน  อะซีเตท,TRIPHENYLTIN ACETATE,900-95-8
1480,สารประกอบไตรฟีนิลทิน,TRIPHENYLTIN COMPOUNDS,-
1481,ไตรฟีนิลทิน ไฮดรอกไซด์,TRIPHENYLTIN HYDROXIDE,76-87-9
1482,สารประกอบไตรโพรพิลทิน,TRIPHOPYLTIN COMPOUNDS,-
1483,ทริส (2-คลอโรเอทธิล) ฟอสเฟต,TRIS (2-CHLOROETHYL) PHOSPHATE,115-96-8
1484,"2,4,6-ทริส (ไดเมทธิลอะมิโนเมทธิล) ฟีนอล 2,4,6-",TRIS (DIMETHYLAMINOMETHYL) PHENOL,90-72-2
1485,ไตรโทลิล ฟอสเฟต,TRITOLYL PHOSPHATE,1330-78-5
1486,เทอร์เพนทีน,TURPENTINE,8006-64-2
1487,ยูเรเนียม,URANIUM 7440--61-1,-
1488,สารประกอบยูเรเนียม,URANIUM COMPOUNDS,-
1489,กรดวาเลริค,VALERIC ACID,109-52-4
1490,วามิโดไธออน,VAMIDOTHION,2275-23-2
1491,วาเนเดียม เพนทอกไซด์,VANADIUM PENTOXIDE,1314-62-1
1492,ไวนิล อะซีเตท,VINYL ACETATE,108-05-4
1493,ไวนิล โบรไมด์,VINYL BROMIDE,593-60-2
1494,ไวนิล คลอไรด์,VINYL CHLORIDE,75-01-4
1495,ไวนิลไซโคลเฮกเซน ไดอีพอกไซด์,VINYLCYCLOHEXANE DIEPOXIDE,106-87-6
1496,ไวนิลิดีน คลอไรด์,VINYLIDENE CHLORIDE,75-35-4
1497,2-ไวนิลโทลูอีน 2-,VINYLTOLUENE,611-15-4
1498,วาร์ฟาริน,WARFARIN,81-81-2
1499,ซีนิลอะมีน,XENYLAMINE,92-67-1
1500,เกลือของซีนิลอะมีน,XENYLAMINE (SALTS),-
1501,ออโท-ไซลีน o-,XYLENE,95-47-6
1502,พารา-ไซลีน p-,XYLENE,106-42-3
1503,เมตตา-ไซลีน m-,XYLENE,108-38-3
1504,ไซลีน (ส่วนผสมของไอโซเมอร์),"XYLENE,mixture of isomers",1330-20-7
1505,ไอโซเมอร์ทั�งหมดของไซลีนอล,"XYLENOL, all isomer",1300-71-6
1506,ไซลิดีน,XYLIDINE,3761-53-3
1507,สังกะสี อัลคิล,ZINC ALKYLS,-
1508,สังกะสี คลอไรด์,ZINC CHLORIDE,7646-85-7
1509,สังกะสี โครเมท,ZINC CHROMATES,7758-97-6
1510,สังกะสี ไดเมทธิลไดไธโอคาร์บาเมท,ZINC DIMETHYLDITHIOCARBAMATE,137-30-4
1511,สังกะสี ฟอสไฟด์,ZINC PHOSPHIDE,1314-84-7
1512,"สังกะสี, ไพโรโฟริค (ในรูปของผง)","ZINC POWDER, ZINC DUST,PYROPHORIC",7440-66-6
1513,ไซแรม,ZIRAM,137-30-4
1514,เซอร์โคเนียม (นอน ไพโรโฟริค) (ในรูปของผง),ZIRCONIUM POWDER (NON PYROPHORIC),-
1515,เซอร์โคเนียม (ไพโรโฟริค) (ในรูปของผง),ZIRCONIUM POWDER (PYROPHORIC),7740-67-7
1516,สารอื�นที�มีสารเคมีอันตรายข้างต้นเป็นองค์ประกอบ,-,-
